team_abbreviation,full_team_name,tag,region,country,country_code,rank,score,record,earnings,founded_year,game,logo_url
V1N1,YDZ x Berzerkers,V1N1,North America,United States,us,18,1594.0,23–6,3300.0,,Valorant,https://owcdn.net/img/678c24dd997cf.png
A1J6,Maryville University,A1J6,North America,United States,us,19,1586.0,35–15,4425.0,,Valorant,https://owcdn.net/img/6457181dc433a.png
MNB,Ambrosia,MNB,North America,Canada,ca,20,1585.0,60–22,11425.0,,Valorant,https://owcdn.net/img/63e9396d839b8.png
Y1BJ,SaD Esports,Y1BJ,North America,United States,us,21,1585.0,53–26,11750.0,,Valorant,https://owcdn.net/img/6528e9505cb61.png
X1IT,Funhavers,X1IT,North America,United States,us,22,1581.0,57–29,1500.0,,Valorant,https://owcdn.net/img/6711f3334e8bf.png
EG,Evil Geniuses,X1FD,North America,United States,us,23,1579.0,6–11,2500.0,,Valorant,https://owcdn.net/img/667462f046618.png
Y1I7,Nightblood Gaming,Y1I7,North America,United States,us,24,1578.0,44–24,3050.0,,Valorant,https://owcdn.net/img/61f13e1258cab.png
Q1N1,QoR,Q1N1,North America,United States,us,25,1558.0,20–9,2300.0,,Valorant,https://owcdn.net/img/63e9a11797f41.png
V1IM,ROSE,V1IM,North America,United States,us,26,1553.0,47–22,250.0,,Valorant,https://owcdn.net/img/63ceb7850f650.png
B1MF,Overtake,B1MF,North America,United States,us,27,1551.0,36–16,575.0,,Valorant,https://owcdn.net/img/678e3f169ef5d.png
B1HM,Prosperity Esports,B1HM,North America,United States,us,28,1534.0,65–45,0.0,,Valorant,https://owcdn.net/img/67ad41d418646.png
Q1K3,St. Clair Saints,Q1K3,North America,Canada,ca,29,1529.0,15–6,1250.0,,Valorant,https://owcdn.net/img/653fbdd4e0d9a.png
T1FJ,Culturized,T1FJ,North America,International,,30,1527.0,35–19,125.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1HO,YDZ Esports,X1HO,North America,United States,us,31,1520.0,58–36,200.0,,Valorant,https://owcdn.net/img/6641651ec5bab.png
B1OP,YxB x cravi,B1OP,North America,United States,us,32,1516.0,5–1,350.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1JW,Brimstone with a Fusion Bomb,M1JW,North America,United States,us,33,1513.0,29–16,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1LZ,CSP Val Orange,B1LZ,North America,International,,34,1501.0,7–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1L1,CSP Val Purple,Y1L1,North America,United States,us,35,1500.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1MZ,Berzerkers,M1MZ,North America,United States,us,36,1498.0,11–7,0.0,,Valorant,https://owcdn.net/img/677bb268cf893.png
M1JT,Cumberland Phoenix,M1JT,North America,United States,us,37,1496.0,29–17,150.0,,Valorant,https://owcdn.net/img/6504e879eb759.png
Z1MG,Team Digital,Z1MG,North America,Canada,ca,38,1496.0,6–2,0.0,,Valorant,https://owcdn.net/img/6624096818cb4.png
X1OB,CHINA,X1OB,North America,United States,us,39,1492.0,6–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1LF,CC Premier,Z1LF,North America,United States,us,40,1491.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1OG,Power Rangers,Q1OG,North America,United States,us,41,1485.0,8–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1C3,Fisher Tea Party,X1C3,North America,United States,us,42,1485.0,6–3,1625.0,,Valorant,https://owcdn.net/img/63b525814a4ef.png
WZW,Aspyre x Swarm,WZW,North America,United States,us,43,1484.0,22–19,0.0,,Valorant,https://owcdn.net/img/6784186c15afd.png
V1NJ,RANKERS Academy,V1NJ,North America,International,,44,1482.0,4–1,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1OB,5 BIG BOOMS,A1OB,North America,United States,us,45,1480.0,12–9,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1KG,Abdes Daycare,Z1KG,North America,United States,us,46,1479.0,22–20,0.0,,Valorant,https://owcdn.net/img/677505b1d2d99.png
YZ4,Northwood University,YZ4,North America,United States,us,47,1479.0,3–2,72243.0,,Valorant,https://owcdn.net/img/636c597cd68a7.png
Q1JG,kellogs cereal,Q1JG,North America,United States,us,48,1479.0,19–16,200.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1OS,Ace Esports,Z1OS,North America,United States,us,49,1478.0,13–9,75.0,,Valorant,https://owcdn.net/img/67b137cd78a67.png
Z1N2,Erinite Esports,Z1N2,North America,United States,us,50,1478.0,24–14,0.0,,Valorant,https://owcdn.net/img/66fb38715718a.png
B1L0,NIGHTSHADE,B1L0,North America,United States,us,51,1477.0,7–4,0.0,,Valorant,https://owcdn.net/img/671ea97fe8048.png
A19D,MBU Spartans,A19D,North America,United States,us,52,1477.0,0–0,4000.0,,Valorant,https://owcdn.net/img/6519bc01608d1.png
Q1JF,Prime,Q1JF,North America,United States,us,53,1476.0,8–5,300.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1L9,Give Wingman a Thermonuclear Device,B1L9,North America,United States,us,54,1476.0,7–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1OQ,Tora University,Z1OQ,North America,United States,us,55,1476.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A17P,webcome,A17P,North America,International,,56,1475.0,2–1,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1JX,LIMBO,X1JX,North America,United States,us,57,1475.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B19U,Harrisburg University,B19U,North America,United States,us,58,1474.0,7–3,2150.0,,Valorant,https://owcdn.net/img/6504e8d17f695.png
M1MP,Life's a Game,M1MP,North America,United States,us,59,1474.0,16–15,0.0,,Valorant,https://owcdn.net/img/648b67435f693.png
M1M1,baboons,M1M1,North America,United States,us,60,1473.0,4–2,125.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1IK,EarnYourMedal,Q1IK,North America,International,,61,1472.0,5–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1OV,Power Puff Girls,Z1OV,North America,United States,us,62,1470.0,5–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
SRG,Shopify Rebellion Gold,W11C,North America,Canada,ca,63,1470.0,15–10,481247.0,,Valorant,https://owcdn.net/img/679314e3d25f4.png
V1HT,Paranoia Vortex,V1HT,North America,International,,64,1469.0,11–8,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1NK,TEMPR,M1NK,North America,United States,us,65,1467.0,5–4,0.0,,Valorant,https://owcdn.net/img/67b22e9747c79.png
Y1IT,Heavenly Sword Sect,Y1IT,North America,International,,66,1467.0,5–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1J4,Dolbaebi,V1J4,North America,International,,67,1466.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1MI,HyperSpeed Black,T1MI,North America,United States,us,68,1465.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1M4,Balut Boys,M1M4,North America,United States,us,69,1465.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1LE,zZz,M1LE,North America,Canada,ca,70,1465.0,4–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1FL,overcook,M1FL,North America,International,,71,1465.0,12–10,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1K9,The Cutchers,B1K9,North America,United States,us,72,1464.0,25–21,0.0,,Valorant,https://owcdn.net/img/67b98ebc526e2.png
Z1OW,Bi Fung,Z1OW,North America,United States,us,73,1463.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1KP,Antares Esports,Z1KP,North America,Colombia,,74,1462.0,3–2,0.0,,Valorant,https://owcdn.net/img/673b0ac08585e.png
Z1PZ,YDZ Infinity,Z1PZ,North America,United States,us,75,1462.0,4–3,0.0,,Valorant,https://owcdn.net/img/6610c3207a699.png
X1LF,Hamster Henchmen,X1LF,North America,International,,76,1462.0,6–4,0.0,,Valorant,https://owcdn.net/img/6754370fd2955.png
Q1HS,Flowstate,Q1HS,North America,International,,77,1461.0,3–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1LE,S2NAW,B1LE,North America,United States,us,78,1461.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1JG,Boomer Squad,T1JG,North America,United States,us,79,1460.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1JF,Made in O'Block,T1JF,North America,United States,us,80,1459.0,4–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1IT,OverLoaded,T1IT,North America,International,,81,1458.0,6–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1MF,Keiser University,X1MF,North America,United States,us,82,1458.0,5–7,0.0,,Valorant,https://owcdn.net/img/66a2a5f00e8fe.png
Y1JF,hunter505,Y1JF,North America,United States,us,83,1457.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1F1,Orangutan Gang,V1F1,North America,International,,84,1457.0,11–10,400.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1M2,Bingus Gaming,T1M2,North America,United States,us,85,1457.0,6–6,75.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1L8,CSP Val Green,X1L8,North America,United States,us,86,1457.0,4–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
BZ8,UCF Gold,BZ8,North America,United States,us,87,1457.0,2–3,8250.0,,Valorant,https://owcdn.net/img/663e4cf0237f7.png
T1J7,4star,T1J7,North America,International,,88,1456.0,4–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1H7,Area of Effect,X1H7,North America,United States,us,89,1455.0,8–7,0.0,,Valorant,https://owcdn.net/img/6274d4c3d4ca0.png
Y1BD,Glue Huffers,Y1BD,North America,International,,90,1455.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W17Q,Luminous,W17Q,North America,International,,91,1454.0,0–0,0.0,,Valorant,https://owcdn.net/img/6494149a75819.png
V1C5,be like mike,V1C5,North America,International,,92,1454.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1MD,Darius Day,Y1MD,North America,United States,us,93,1454.0,3–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1L0,CSP Val Blue,Y1L0,North America,United States,us,94,1454.0,3–3,0.0,,Valorant,https://owcdn.net/img/65d14114a7623.png
B1E4,Refugee Camp,B1E4,North America,International,,95,1453.0,0–0,0.0,,Valorant,https://owcdn.net/img/65bc1156e1edb.png
X1E4,the process,X1E4,North America,International,,96,1453.0,2–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1PZ,Green Grapes,V1PZ,North America,International,,97,1453.0,3–3,0.0,,Valorant,https://owcdn.net/img/67a8246854416.png
W1M5,Christians Rottweilers,W1M5,North America,United States,us,98,1453.0,8–7,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1JG,West Virginia University,M1JG,North America,United States,us,99,1451.0,31–26,0.0,,Valorant,https://owcdn.net/img/663e50bc0927c.png
W1E4,boomertin,W1E4,North America,International,,100,1451.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1OH,beastmode,Z1OH,North America,International,,101,1450.0,5–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1N2,Centic Gaming,Y1N2,North America,International,,102,1450.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1GP,DOOMSDAY,Q1GP,North America,International,,103,1449.0,7–7,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1MF,Chug Jug Gaming,M1MF,North America,United States,us,104,1448.0,3–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1O5,Lyrical's Daycare,A1O5,North America,United States,us,105,1447.0,3–2,0.0,,Valorant,https://owcdn.net/img/679e9b359d24a.png
W1BO,Notorious,W1BO,North America,International,,106,1447.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1JU,APX,X1JU,North America,United States,us,107,1447.0,4–4,0.0,,Valorant,https://owcdn.net/img/675ca45eac231.png
Z1JV,Cohburg's Kittens,Z1JV,North America,United States,us,108,1447.0,3–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1OS,jarritos,V1OS,North America,United States,us,109,1446.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1C8,Cookie Monster Fanclub,Q1C8,North America,International,,110,1445.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X181,Why So Serious,X181,North America,International,,111,1445.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1DQ,FlyQuest RED,A1DQ,North America,United States,us,112,1444.0,5–6,45000.0,,Valorant,https://owcdn.net/img/6478e8607ca46.png
B18I,Colgate EP,B18I,North America,International,,113,1444.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1H6,OC Esports,Q1H6,North America,United States,us,114,1444.0,9–7,0.0,,Valorant,https://owcdn.net/img/636d53f746e83.png
Y1E4,Ouroboros,Y1E4,North America,International,,115,1444.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B17K,96 Bulls,B17K,North America,International,,116,1443.0,1–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1O5,Purdue University Gold,W1O5,North America,United States,us,117,1443.0,1–4,0.0,,Valorant,https://owcdn.net/img/65aeace30ee89.png
Y1J4,uhhhh,Y1J4,North America,International,,118,1443.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1E6,Blue Rose,B1E6,North America,International,,119,1443.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
MXX,Converse Purple,MXX,North America,United States,us,120,1443.0,0–0,9875.0,,Valorant,https://owcdn.net/img/63712d16b27e2.png
Y15H,Disciples,Y15H,North America,United States,us,121,1440.0,0–0,0.0,,Valorant,https://owcdn.net/img/63b6137594206.png
B16J,bandzmoneyblickygat,B16J,North America,International,,122,1440.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q16T,Polarity,Q16T,North America,International,,123,1440.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1E4,Gunter's Goons,M1E4,North America,United States,us,124,1440.0,1–3,0.0,,Valorant,https://owcdn.net/img/65cba77c92aef.png
A17J,The Farmers,A17J,North America,United States,us,125,1440.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1I0,EbonyXNotion,M1I0,North America,International,,126,1440.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1K8,why r we here,M1K8,North America,United States,us,127,1440.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1BU,Yordle Lovers,X1BU,North America,International,,128,1440.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z17B,Tussin Esports,Z17B,North America,United States,us,129,1439.0,0–0,0.0,,Valorant,https://owcdn.net/img/647442b46d6f4.png
W1N2,South Park,W1N2,North America,International,,130,1439.0,11–14,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B17L,fun guys fun times,B17L,North America,International,,131,1439.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1IN,shaboingboing,A1IN,North America,International,,132,1439.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M13H,Handsome Jit,M13H,North America,United States,us,133,1439.0,0–0,800.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1N0,Cumberland Prophecy,V1N0,North America,United States,us,134,1439.0,2–3,0.0,,Valorant,https://owcdn.net/img/6504e879eb759.png
YWG,WTP,YWG,North America,United States,us,135,1438.0,6–5,100.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1M0,F5 Esports,T1M0,North America,United States,us,136,1438.0,12–12,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1JG,Gondal Enjoyers,X1JG,North America,United States,us,137,1438.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1JF,OMNISCIENT,B1JF,North America,United States,us,138,1438.0,2–3,0.0,,Valorant,https://owcdn.net/img/66e64073119c2.png
Y1IW,random fricks,Y1IW,North America,International,,139,1438.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1HO,Raven Esports,Y1HO,North America,International,,140,1438.0,7–9,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M17O,Ra Strength,M17O,North America,International,,141,1438.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A17A,AKA,A17A,North America,International,,142,1438.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z188,LC,Z188,North America,International,,143,1437.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1K0,LOW9,A1K0,North America,United States,us,144,1437.0,4–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1N5,Excel EKKO,X1N5,North America,United States,us,145,1437.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1IK,Akatsuki Aimers,B1IK,North America,International,,146,1437.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1H8,BHOP Esports,X1H8,North America,International,,147,1437.0,3–6,0.0,,Valorant,https://owcdn.net/img/62e21613517d2.png
W153,Styx's Sticky Salamanders,W153,North America,International,,148,1436.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1K0,Goobers Inc,V1K0,North America,International,,149,1436.0,3–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1JT,Winthrop Academy,Q1JT,North America,United States,us,150,1436.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1I7,English or Spanish,X1I7,North America,United States,us,151,1436.0,12–12,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
AZC,Michigan State University,AZC,North America,United States,us,152,1436.0,2–5,0.0,,Valorant,https://owcdn.net/img/6424383f00022.png
M1GQ,Final Form Entertainment,M1GQ,North America,United States,us,153,1435.0,5–6,0.0,,Valorant,https://owcdn.net/img/637d586ac45ce.png
T1KS,Invictus Mafia,T1KS,North America,United States,us,154,1435.0,11–11,0.0,,Valorant,https://owcdn.net/img/6726e3a363131.png
M1B7,Night Raid,M1B7,North America,International,,155,1435.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1JE,lost cause,W1JE,North America,United States,us,156,1435.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1K5,Chicken Alfredo,Y1K5,North America,United States,us,157,1435.0,4–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1O6,EXC x F1,A1O6,North America,United States,us,158,1435.0,1–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1BK,Bambys Boys,Y1BK,North America,International,,159,1434.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1MT,Child Protective Services,Z1MT,North America,International,,160,1433.0,6–10,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1AZ,Able Esports,T1AZ,North America,Canada,ca,161,1433.0,0–0,0.0,,Valorant,https://owcdn.net/img/6012273369dee.png
W16Z,Premier Esports Red,W16Z,North America,International,,162,1432.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M17L,VizUprising Mafia,M17L,North America,United States,us,163,1432.0,0–0,0.0,,Valorant,https://owcdn.net/img/647c47b271c30.png
T11U,UW Madison Red,T11U,North America,United States,us,164,1432.0,0–0,0.0,,Valorant,https://owcdn.net/img/643f3737de2a9.png
T188,Banana Flippers,T188,North America,International,,165,1432.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1FW,Bosnian Bullets,X1FW,North America,United States,us,166,1432.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V13U,dZOriginals,V13U,North America,United States,us,167,1432.0,0–0,0.0,,Valorant,https://owcdn.net/img/64249e5a1b755.png
M1N0,Cumberland Destiny,M1N0,North America,United States,us,168,1432.0,2–3,0.0,,Valorant,https://owcdn.net/img/6504e879eb759.png
BZF,UC Irvine,BZF,North America,United States,us,169,1431.0,3–3,5250.0,,Valorant,https://owcdn.net/img/63bca3eb92319.png
B1NK,THANOS WORLD,B1NK,North America,International,,170,1431.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V11Y,Yacht Club,V11Y,North America,United States,us,171,1430.0,0–0,0.0,,Valorant,https://owcdn.net/img/63c6694d85d61.png
Z1JW,Prestige Esports,Z1JW,North America,United States,us,172,1430.0,27–25,300.0,,Valorant,https://owcdn.net/img/66eb6ac356e7c.png
W1K4,CurrentlyKissingMen,W1K4,North America,United States,us,173,1430.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1BT,WASTED TALENT,V1BT,North America,International,,174,1429.0,1–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1JW,Gosu Academy Prodigies,X1JW,North America,United States,us,175,1429.0,4–6,0.0,,Valorant,https://owcdn.net/img/6726e664141c3.png
M17P,Mango Munchers,M17P,North America,International,,176,1429.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
BYR,Ottawa Braves,BYR,North America,United States,us,177,1429.0,0–0,4500.0,,Valorant,https://owcdn.net/img/63b07ae554790.png
Q1OP,The International Justice League,Q1OP,North America,United States,us,178,1428.0,2–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1AB,Wichita State Esports,B1AB,North America,United States,us,179,1428.0,1–2,500.0,,Valorant,https://owcdn.net/img/6531be3cdfe5d.png
Q19F,Silly Little Guys,Q19F,North America,International,,180,1428.0,0–0,100.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1NN,Plus 1,B1NN,North America,United States,us,181,1428.0,4–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1N0,FAWZ Purple,Q1N0,North America,United States,us,182,1428.0,1–4,0.0,,Valorant,https://owcdn.net/img/66e4ecb63d6a5.png
Q1NN,Revitalize,Q1NN,North America,United States,us,183,1427.0,5–12,0.0,,Valorant,https://owcdn.net/img/673a78cc1c768.png
Y1G1,LazerrFreeks8,Y1G1,North America,United States,us,184,1427.0,2–2,0.0,,Valorant,https://owcdn.net/img/660e11681a5bf.png
Y17C,Unexpected Victory,Y17C,North America,Canada,ca,185,1427.0,0–0,0.0,,Valorant,https://owcdn.net/img/63f69a446dce6.png
A1E5,diversity,A1E5,North America,International,,186,1427.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B121,ThriveHQ,B121,North America,International,,187,1427.0,0–0,0.0,,Valorant,https://owcdn.net/img/64432a1d24cfd.png
Y1L8,Invictus Esports,Y1L8,North America,United States,us,188,1427.0,4–6,0.0,,Valorant,https://owcdn.net/img/6726e3881a3cb.png
B15J,Think Again,B15J,North America,International,,189,1427.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1AK,Team Equinox,W1AK,North America,International,,190,1426.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
TWB,Zer0 Latency,TWB,North America,United States,us,191,1426.0,0–0,0.0,,Valorant,https://owcdn.net/img/6270292c7acf9.png
B1JC,A Good Team,B1JC,North America,United States,us,192,1426.0,3–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z16Z,we are pugging,Z16Z,North America,International,,193,1426.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1M4,Noodle Empire,V1M4,North America,United States,us,194,1425.0,1–4,0.0,,Valorant,https://owcdn.net/img/67abdcd4a1196.png
VZA,Scarlet Knights Black,VZA,North America,United States,us,195,1424.0,2–6,11000.0,,Valorant,https://owcdn.net/img/636db846057c1.png
V1JU,MERC,V1JU,North America,United States,us,196,1424.0,3–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
